File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time,,,,,,,,
test1, 174525 (13.31%), 0 (0.00%), 19369 (1.48%), 0 (0.00%), 0 (0.00%), 41480 (3.16%), 1117517 (85.21%), 193894 (14.79%),1311411,,,,,,,,
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
grad_gather,test1,0.001,0.001,0.001,0,174524.7,0,0,#NAME?,0,174524.701,17.529167,8.764584,0,#NAME?,0,1311411.285
grad_param_comm,test1,0.001,0.001,0.001,0,0,0,0,#NAME?,0,116363.669,52.581238,26.290619,0,#NAME?,0,1311411.285
grad_param_compute,test1,0.001,0.001,34021,0,0,0,0,#NAME?,0,0,#NAME?,0,0,#NAME?,0,1311411.285
embedding_grads,test1,0.001,0.001,0.001,0,0,76.268,0,#NAME?,0,0,#NAME?,0,76.268,256.087097,256.087097,1311411.285
moe_grad_norm1,test1,0.001,0.001,0.001,0,0,0,0,#NAME?,0,0,#NAME?,#NAME?,0,#NAME?,0,1311411.285
moe_grad_norm2,test1,0.001,0.001,0.001,0,0,0,0,#NAME?,0,0,#NAME?,#NAME?,0,#NAME?,0,1311411.285
embedding_layer,test1,799,17374,0.001,76.268,0,0,76.268,256.087097,256.087097,0,#NAME?,0,0,#NAME?,0,1311411.285
attention_column,test1,910,910,910,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
attention_row,test1,910,910,910,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
mlp_column,test1,1239,1239,1239,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
mlp_row,test1,1239,1239,1239,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
attention_column,test1,910,910,910,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
attention_row,test1,910,910,910,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
mlp_column,test1,1239,1239,1239,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
mlp_row,test1,1239,1239,1239,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
attention_column,test1,910,910,910,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
attention_row,test1,910,910,910,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
mlp_column,test1,1239,1239,1239,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
mlp_row,test1,1239,1239,1239,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
attention_column,test1,910,910,910,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
attention_row,test1,910,910,910,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
mlp_column,test1,1239,1239,1239,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
mlp_row,test1,1239,1239,1239,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
attention_column,test1,910,910,910,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
attention_row,test1,910,910,910,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
mlp_column,test1,1239,1239,1239,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
mlp_row,test1,1239,1239,1239,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
attention_column,test1,910,910,910,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
attention_row,test1,910,910,910,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
mlp_column,test1,1239,1239,1239,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
mlp_row,test1,1239,1239,1239,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
attention_column,test1,910,910,910,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
attention_row,test1,910,910,910,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
mlp_column,test1,1239,1239,1239,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
mlp_row,test1,1239,1239,1239,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
attention_column,test1,910,910,910,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
attention_row,test1,910,910,910,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
mlp_column,test1,1239,1239,1239,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
mlp_row,test1,1239,1239,1239,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
attention_column,test1,910,910,910,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
attention_row,test1,910,910,910,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
mlp_column,test1,1239,1239,1239,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
mlp_row,test1,1239,1239,1239,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
attention_column,test1,910,910,910,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
attention_row,test1,910,910,910,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
mlp_column,test1,1239,1239,1239,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
mlp_row,test1,1239,1239,1239,38.192,0,38.192,38.192,511.396362,255.698181,0,#NAME?,0,38.192,511.396362,255.698181,1311411.285
final_column,test1,910,910,910,38.192,0,0,38.192,511.396362,255.698181,0,#NAME?,0,0,#NAME?,0,1311411.285
